year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_pop,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_18_plus,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus,"Gender,Male","Gender,Female","Age,18-29","Age,30-39","Age,40-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Black","Race,Latino","Race,Asian","Race,Other","Education,HS or less","Education,College Graduate","Education,Postgraduate"
2016,CA,36,144348,88269,232617,1,d,477984,234668,243316,749841,515188,39093,33952,370893,517881,64351,42434,749841,41218,88762,85936,93361,48106,43119,576603,549316,158597,267899,24729,16565,34580,29888,40163,43254,26786,30250,10466,11218,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,37,237272,0,237272,1,d,469142,223832,245310,729010,305751,171907,84868,288700,509036,110932,76872,729010,61774,135195,101737,95470,43066,38948,590445,557491,94620,273317,25261,18588,27346,25543,30672,41324,30664,34962,16246,22711,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,38,163590,68524,232114,1,d,459617,220359,239258,708889,304070,40088,129790,426218,470664,78309,32228,708889,50512,99208,95005,96252,43132,41639,542769,511582,95428,204335,8584,8822,18286,15958,24801,36484,28101,38167,14579,10553,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,39,112679,150777,263456,1,r,481935,235883,246052,729909,353478,24179,249576,250646,500329,138477,69753,729909,54330,105313,91459,98129,54823,43268,572588,545187,107337,225793,9427,6477,12344,12371,21394,37593,30125,44338,23676,28048,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,4,130845,220133,350978,1,r,554398,273806,280592,737169,622130,15019,51740,101290,525139,113568,61180,737169,35582,76671,86372,100710,59268,54139,578184,553389,147979,274386,12123,12555,19281,20841,29338,44437,35722,47457,24819,27813,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,40,106554,0,149297,1,d,333524,159739,173785,723345,358263,33988,22870,636736,429765,31452,10694,723345,60241,110550,99503,92572,35483,27593,513883,478065,64064,182996,11558,10007,26250,23256,33498,34113,19008,16579,5305,3422,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,41,128164,69159,197323,1,d,452955,217190,235765,760165,349650,80332,48746,450959,451297,50108,32356,760165,71767,117043,95968,92515,40275,34870,552295,507099,70626,194812,9992,8014,17600,18116,24870,38618,28354,31832,9927,7489,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,42,104689,149547,254236,1,r,525046,265237,259809,793044,488486,53736,98010,312449,513020,85883,42606,793044,51957,113412,109702,103988,51779,39423,584437,552497,94716,227143,9550,6354,14538,17113,24501,39738,32744,41433,23310,17862,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,43,167017,52499,219516,1,d,428712,198207,230505,724077,244752,169536,105871,339681,479623,86734,40549,724077,55057,115315,102312,95417,44256,38174,554464,524067,84149,239020,16350,12879,27095,23756,30630,40133,27773,33255,13690,13459,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,44,178413,0,178413,0,d,385452,179692,205760,723685,323837,120205,45246,511063,443139,37921,16767,723685,55968,108467,94978,93362,38729,31522,521627,488025,76081,188841,9936,11303,23713,19828,28053,32251,23682,24991,9439,5645,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
