year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_nonwhite,ed_pop,ed_4y,ed_no4y,age_pop,age_18_34,age_35_49,age_50_64,age_65_plus,inc_pop,inc_lt_50,inc_50_100,inc_100_plus,"Gender,Male","Gender,Female","Age,18-34","Age,35-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Non-White","Education,HS or less","Education,4yrDegree"
2012,FL,17,116766,165488,282266,0,d,326195,161861,164334,711198,607161,104037,511515,94161,417354,711198,88093,122925,138781,183775,266228,152355,81195,32678,-8,11,18,0,-4,-11,20,-6,-14,-20,53,3,0
2012,FL,18,166257,164353,330665,0,r,277981,134742,143239,710837,575821,135016,521164,157058,364106,710837,97212,134760,149087,164226,281363,139696,79088,62579,-8,11,18,0,-4,-11,20,-6,-14,-20,58,3,1
2012,FL,19,109746,189833,306216,0,d,337353,165113,172240,722151,621818,100333,540578,155282,385296,722151,92331,122076,148528,198893,283141,142759,85084,55298,-8,11,18,0,-4,-11,20,-6,-14,-20,52,3,1
2012,FL,2,157634,175856,333718,0,r,299949,151012,148937,707654,488507,219147,461943,126506,335437,707654,142910,135732,135831,95501,264243,149154,76642,38447,-8,11,18,0,-4,-11,20,-6,-14,-20,73,3,1
2012,FL,20,214727,0,244285,0,d,302837,147625,155212,730502,284808,445694,484985,82357,402628,730502,143569,147213,131163,98620,246669,159916,63453,23300,-8,11,18,0,-4,-11,20,-6,-14,-20,70,3,0
2012,FL,21,221263,0,284400,0,r,254522,122373,132149,717852,570569,147283,509662,180944,328718,717852,98223,139052,137721,159913,269288,122560,80338,66390,-8,11,18,0,-4,-11,20,-6,-14,-20,54,3,0
2012,FL,22,171021,142050,313071,0,r,312089,155378,156711,702250,571528,130722,525450,190412,335038,702250,115275,137445,146617,148852,299687,143472,85138,71077,-8,11,18,0,-4,-11,20,-6,-14,-20,54,3,1
2012,FL,23,174205,98096,275430,0,d,261914,126784,135130,729345,552890,176455,519151,190477,328674,729345,115662,165084,149099,114888,281081,137194,74574,69313,-8,11,18,0,-4,-11,20,-6,-14,-20,49,3,1
2012,FL,24,1,0,1,0,r,264447,126161,138286,725188,281513,443675,477822,98129,379693,725188,152909,154812,128399,77867,232332,146008,59288,27036,-8,11,18,0,-4,-11,20,-6,-14,-20,66,3,0
2012,FL,25,0,151466,200229,0,r,267850,129733,138117,716312,625765,90547,486108,117571,368537,716312,116906,158022,130852,107688,213385,112709,64700,35976,-8,11,18,0,-4,-11,20,-6,-14,-20,42,3,-1
2012,FL,26,135694,108820,252957,0,,242129,118540,123589,726532,618514,108018,508750,142374,366376,726532,135434,156644,147465,107112,221191,110436,66983,43772,-8,11,18,0,-4,-11,20,-6,-14,-20,44,3,0
2012,FL,27,85020,138488,230171,0,,281966,139069,142897,726678,635134,91544,513159,153042,360117,726678,123127,156368,140886,122211,248149,143497,54462,50190,-8,11,18,0,-4,-11,20,-6,-14,-20,43,3,1
2012,FL,3,102468,204331,315669,0,d,292575,146404,146171,702872,554499,148373,461588,111683,349905,702872,127528,128113,136027,110055,252817,146876,69334,36607,-8,11,18,0,-4,-11,20,-6,-14,-20,63,3,1
2012,FL,4,0,239988,315470,1,r,273878,134858,139020,706401,548004,158397,485059,141070,343989,706401,141087,143186,142433,92363,264165,125847,84955,53363,-8,11,18,0,-4,-11,20,-6,-14,-20,63,3,0
2012,FL,5,190472,70700,269153,0,r,303626,146105,157521,710781,276079,434702,449917,68530,381387,710781,139193,141022,128558,79442,245010,170553,56050,18407,-8,11,18,0,-4,-11,20,-6,-14,-20,73,3,-1
2012,FL,6,146489,195962,342451,0,r,227981,110155,117826,711266,592847,118419,514624,142955,371669,711266,89435,130201,158062,158161,281866,157273,77061,47532,-8,11,18,0,-4,-11,20,-6,-14,-20,63,3,0
2012,FL,7,130479,185518,316010,1,r,222402,109182,113220,720817,590909,129908,479301,156446,322855,720817,135388,144209,141910,95389,254413,122619,78839,52955,-8,11,18,0,-4,-11,20,-6,-14,-20,52,3,0
2012,FL,8,130870,205432,348909,0,r,238855,116554,122301,703604,588973,114631,513991,136807,377184,703604,93365,127120,155938,159579,282122,153610,80522,47990,-8,11,18,0,-4,-11,20,-6,-14,-20,60,3,1
