year,state,district,age_pop,allage_m,allage_f,age_18_plus,allage_citzenpct,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus
2012,CA,22,717545,355162,362383,506374,63.0,717545,517179,26923,64885,323418,427979,68092,32801,56341,104357,88023,86709,36702,33740,471131,78448,231140,15607,14762,28075,26876,30076,42301,24106,29256,11520,8561
2012,CA,23,713959,362699,351260,519250,54.8,713959,533668,49785,44323,265902,441804,54202,29849,56606,95529,90504,94670,41950,37888,486901,81263,233228,14785,15253,26685,24305,29499,44015,28448,30085,12756,7397
2012,CA,24,716974,360527,356447,566119,63.0,716974,559594,19176,44148,251506,455051,87726,55663,77243,91849,81459,90433,45505,42123,515631,103682,248108,15603,11653,20923,22673,33039,42745,34447,38118,15315,13592
2012,CA,25,717685,361798,355887,514945,47.6,717685,464699,59101,71150,272225,440967,83698,39933,50728,85036,97768,114029,41565,34058,479367,68511,218307,11978,8968,15486,18593,24751,36624,31159,35401,18876,16471
2012,CA,26,711999,353558,358441,535058,56.7,711999,554789,19501,59770,316323,459808,91669,51943,54302,90892,91402,100622,46614,37971,503430,92307,224847,7504,8979,19615,16960,24939,41610,31480,36989,19124,17647
2012,CA,27,710190,344955,365235,574278,37.3,710190,316863,39700,272727,190942,505893,126273,79473,51909,97460,92593,112236,52435,42134,547623,109035,243811,13932,11336,23011,18716,28547,40904,29071,38169,17840,22285
2012,CA,28,727828,367886,359942,598206,41.9,727828,495526,26156,105342,204387,533789,149899,70052,50705,131028,112207,106648,45675,38264,575848,99967,293413,19468,21908,34023,28672,35553,45835,30958,37666,18555,20775
2012,CA,29,722810,361938,360872,531889,55.7,722810,449952,36600,68710,489575,453288,69915,22080,58224,120686,105224,89739,42193,28702,498591,66744,202011,15369,15016,26591,21796,32657,35513,23274,21248,6389,4158
2012,CA,3,712075,357491,354584,536413,52.4,712075,468948,49665,97840,202322,445983,66942,39402,65973,93970,86622,97266,46910,38555,495964,82660,240968,16390,15351,25245,22486,34253,42869,30592,31002,12192,10588
2012,CA,30,729053,356411,372642,569163,42.9,729053,491626,42938,111136,207393,507614,144498,70386,46240,102767,109948,110098,44318,42185,545263,98298,266007,15115,11614,21925,22071,31363,44504,33838,43892,17040,24645
2012,CA,31,724413,357796,366617,517717,52.5,724413,437402,82599,74246,377638,433224,61526,35231,61570,104990,94537,98191,37438,31544,480407,66524,209465,15107,11293,23514,21795,28037,37616,27741,26867,10173,7322
2012,CA,32,718635,352544,366091,540103,50.1,718635,369434,26919,120847,447892,458498,61398,28137,59444,105117,98178,92933,40588,39357,504748,82325,192970,9296,8601,20501,17407,27349,37731,28014,28539,9591,5941
2012,CA,33,701029,339183,361846,572427,40.3,701029,535436,28351,110552,82228,499996,178317,128052,48236,91989,99926,108391,49929,40687,536928,109074,291359,16278,10351,15827,15613,24814,39171,31416,50473,28907,58509
2012,CA,34,708100,363463,344637,552863,64.0,708100,240547,33079,142096,465482,473016,75745,27965,60411,131185,104184,90260,42287,32791,521142,72309,237541,25666,24484,43179,31453,32966,35930,17298,17607,4771,4187
2012,CA,35,718067,357268,360799,514149,60.5,718067,410225,55402,53405,501295,426346,46380,12520,63459,116188,93977,95163,35672,31379,474709,53967,183023,10754,8790,19152,19539,29095,39098,24940,22288,6381,2986
2012,CA,36,714975,361387,353588,537058,60.7,714975,462849,42094,32399,332407,475016,59102,37593,43130,85360,81376,89253,41652,42064,507787,135311,250613,18764,18412,35767,29815,39391,40924,25353,24456,8752,8979
2012,CA,37,716299,345257,371042,571982,57.4,716299,280913,196321,84208,252420,488590,109107,69541,62955,125805,106616,93822,40307,37105,539318,84935,272662,29378,20738,33615,21887,34297,46109,26880,29649,12970,17139
2012,CA,38,715745,348761,366984,543319,43.7,715745,400795,36872,123978,432825,461112,67681,33150,60651,97205,95669,100392,45981,34518,509806,87347,203928,10303,7760,19202,18680,28690,38882,28251,32145,12087,7928
2012,CA,39,718996,354881,364115,559716,43.3,718996,390410,18226,234079,234416,483562,124851,63522,57920,97809,97056,104759,51709,40318,530118,91911,222106,9859,5284,16434,16228,25283,41498,29567,42007,17462,18484
2012,CA,4,704230,354417,349813,553589,45.5,704230,600122,13814,43965,86687,500209,102786,48969,36956,73348,85622,108090,55462,49479,530064,128208,263710,11266,12587,23499,24766,35366,49560,32722,42530,16250,15164
2012,CA,40,694514,340662,353852,482730,67.3,694514,373645,37768,20509,604766,399124,27614,8980,58655,108913,98414,80955,31701,23769,444775,55372,172821,15446,13275,28327,23215,29448,29988,16099,12021,3220,1782
2012,CA,41,726487,359984,366503,520893,61.7,726487,431902,78286,43203,423328,423304,44888,27579,70973,107646,94427,92144,39288,27761,479060,62038,195850,12772,11514,23352,20869,29161,38141,23350,22591,9575,4525
2012,CA,42,745833,368967,376866,534568,45.9,745833,532828,45258,78761,281331,458885,70768,32448,51608,94321,108725,102746,39496,35562,499651,78035,215114,8435,6894,17726,19164,26788,39008,36660,36261,14969,9209
2012,CA,43,697985,340960,357025,525627,57.6,697985,255509,175857,100414,327326,450623,74048,34369,52729,110573,98850,97390,37196,30954,491488,75660,233691,21306,13277,27737,29782,34170,38113,26946,24570,9609,8181
2012,CA,44,714989,348687,366302,496268,59.6,714989,298270,121642,42285,507265,408491,36017,10709,64203,100315,100020,85522,36080,26310,458967,60244,182199,15286,13619,24186,18289,29519,33418,20183,20021,5101,2577
2012,CA,45,724219,356677,367542,555479,41.3,724219,465988,18752,179578,135014,485734,153302,99782,48255,90419,105993,113165,46328,38042,524552,91787,253921,11493,7449,15191,12466,20701,36694,35327,51716,29291,33593
2012,CA,46,717993,358894,359099,520059,65.0,717993,432443,15386,87205,476646,426508,50862,20730,67645,113562,105429,91291,33849,25072,479895,57305,181566,10578,9402,20023,17661,28747,37214,22135,22765,7679,5362
2012,CA,47,722624,354629,367995,550192,49.2,722624,405090,68045,171077,249929,473451,94649,50306,55293,98732,102371,104304,45888,36619,519191,85537,246195,16941,15018,26054,23693,31438,43172,29574,34733,13637,11935
2012,CA,48,717809,355708,362101,571036,37.5,717809,494190,11387,139178,152185,506949,142737,75802,48361,99673,97639,110454,50606,41366,546644,107211,261678,10091,8987,17346,19613,28154,42719,31799,45785,25580,31604
2012,CA,49,714647,361223,353424,546693,55.7,714647,549135,23734,56828,194062,472880,114357,76602,55863,98615,94838,100668,45539,40080,515502,93140,247703,18333,7375,17411,21984,26500,39811,28925,41658,19141,26565
2012,CA,5,715809,349324,366485,561527,57.4,715809,488255,56144,87469,196654,490862,96637,46498,52670,95255,86748,103300,52681,47470,531077,105408,255226,12681,11240,23317,23805,34838,46063,33694,39652,15808,14128
2012,CA,50,721337,350726,370611,535456,58.3,721337,581165,27116,50823,205010,467845,80948,37059,48174,92168,92697,102753,47975,40894,505520,91358,240266,16867,9952,23807,27297,29771,43138,30723,33707,15903,9101
2012,CA,51,738513,377005,361508,534948,56.3,738513,481102,58489,76240,506364,436667,38800,16752,72555,106736,94719,94342,42343,27966,494031,70561,196644,18201,16932,30072,22599,30506,32738,21597,16748,4980,2271
2012,CA,52,704272,353384,350888,572047,42.7,704272,488857,27935,161575,96243,487394,156012,117332,64722,120911,99034,95203,45935,36201,538813,90110,268528,13435,8012,17579,16810,26974,40213,37563,50039,29699,28204
2012,CA,53,725892,367843,358049,569935,44.5,725892,476957,77438,111182,242609,483038,110185,56188,63711,129069,100482,94819,42107,32227,532129,84334,258604,14272,12970,22602,24213,36438,49034,34316,39544,15387,9828
